date,actual,projection,adjusted_projection
2001-01-01,59.7,,
2001-02-01,50.7,,
2001-03-01,55.9,,
2001-04-01,55.8,,
2001-05-01,57.7,,
2001-06-01,56.6,,
2001-07-01,55.4,,
2001-08-01,55.7,,
2001-09-01,59.2,,
2001-10-01,57.5,,
2002-01-01,64.0,,
2002-02-01,54.0,,
2002-03-01,61.2,56.62134364205337,57.24087064131302
2002-04-01,61.6,56.205952899793786,56.918601719062494
2002-05-01,62.7,57.100797877335005,58.14340585404911
2002-06-01,60.3,57.31770793907274,57.94879346790839
2002-07-01,61.6,57.09680507472263,57.41621663083737
2002-08-01,59.8,56.69560393903129,57.22986204385991
2002-09-01,61.7,60.566643226312436,61.04192863836575
2002-10-01,63.8,63.23633621553465,62.37529188545119
2003-01-01,65.4,67.99859531301632,67.75607442716228
2003-02-01,56.4,55.07361327126133,55.55904673105084
2003-03-01,63.0,61.64426121893762,62.42616928657996
2003-04-01,62.8,69.96837018273428,68.37902717191294
2003-05-01,62.7,64.87007108331076,65.15666723167361
2003-06-01,63.2,62.44332550050479,62.70205565965752
2003-07-01,62.5,63.70131254733204,63.992086827131374
2003-08-01,61.3,60.68794676549324,61.31581353180529
2003-09-01,63.4,62.52951515739681,63.203324056845545
2003-10-01,65.8,69.51441677083727,68.75415864229929
2004-01-01,67.0,71.8401087120116,70.88606944382259
2004-02-01,60.6,57.202399336604486,57.80508664084296
2004-03-01,66.6,66.83964478895517,66.62985503363117
2004-04-01,65.5,71.93857703067528,70.13611679749759
2004-05-01,65.5,67.74761182866933,67.1709457534246
2004-06-01,66.0,66.36912316398413,66.36348070148911
2004-07-01,64.4,67.83094605548857,67.16628890686042
2004-08-01,62.9,63.37259618531008,63.667499165709515
2004-09-01,65.5,66.39916482413612,66.44750066893316
2004-10-01,66.7,73.69277418121753,72.30891688294206
2005-01-01,72.4,72.89549643094743,72.12876728977895
2005-02-01,60.0,57.159499822222706,59.09786389286654
2005-03-01,68.8,67.87982215525479,68.49181368611877
2005-04-01,67.2,68.56745923853535,68.62671021505804
2005-05-01,68.1,65.27823237021501,66.3242514072338
2005-06-01,68.8,66.39296826235906,67.2620435450788
2005-07-01,67.6,64.64328906234931,65.53334166237069
2005-08-01,66.3,62.98659476262043,63.90122461252803
2005-09-01,69.0,66.13681022305398,66.92525590422109
2005-10-01,69.9,70.62800741010464,70.4470387671825
2006-01-01,76.2,77.22784255970092,76.86216132402318
2006-02-01,65.1,58.622762685084375,59.93317548085674
2006-03-01,72.4,70.43526069096355,70.97351951982915
